CAT CODE;RUS;KAZ;LEVEL;
Car antennas;Автомобильные антенны;Авток_лік антенналары;3;
Car on-board computers;Автомобильные бортовые компьютеры;Авток_лікті_ борт компьютерлері;3;
Car video interfaces and navigation boxes;Автомобильные видеоинтерфейсы и навигационные блоки;Авток_лікті_ видеоинтерфейсі мен навигация блоктары;3;
Car TVs and monitors;Автомобильные телевизоры и мониторы;Авток_лікке _ойылатын теледидар, мониторлар;3;
Car speakerphone;Автомобильные устройства громкой связи;Авток_ліктегі _атты дауыс байланыс __рыл_ылары;3;
Car code readers;Автосканеры;Автосканерлер;3;
DVRs;Видеорегистраторы;Видеотіркегіштер;3;
Car cruise control;Круиз-контроль;Круиз-контроль;3;
Parking cameras;Парковочные камеры;К_лік _а_тару камералары;3;
Parking sensors;Парктроники;Парктрониктер;3;
Radar detectors;Радар-детекторы;Детектор-радарлар;3;
Cigarette lighter splitters;Разветвители прикуривателя;Жал_ап оталдыр_ыш тарма_тары;3;
Accessories for luggage systems;Аксессуары для багажных систем;Ж_к сал_ыш ж_йелеріні_ керек-жара_ы;3;
Luggage ski and snowboard mounts;Багажники для лыж и сноубордов;Ша__ы мен сноуборд_а арнал_ан ж_ксал_ыш;3;
Luggage boxes;Багажные боксы;Ж_ксал_ыш бокстар;3;
Luggage baskets;Багажные корзины;Ж_к себеттері;3;
Bicycle racks;Крепления для велосипедов;Велосипед бекіткіштер;3;
Roof rails and racks;Рейлинги и поперечины;Рейлингтер мен к_лдене_ біліктер;3;
Fairings;Фейринги;Фейринг;3;
GBO components;Комплектующие ГБО;ГБ_ _осал_ы жабды_тары;3;
GBO kits;Комплекты ГБО;ГБ_ жина_тары;3;
Car deflectors;Автомобильные дефлекторы и спойлеры;Авток_лік дефлекторлары мен спойлерлері;3;
Car mudguards;Брызговики;Д__гелектен шашыра_ан суды _ал_ала_ыштар;3;
Bumpers and sills protection;Защита бамперов и порогов;Бамперлер мен табалдыоы_ _ор_аныштары;3;
Crankcase and gearbox protection;Защита картера и КПП;Картер мен беріліс _орабын _ор_ау;3;
Car protective pads;Защитные накладки;Есікке _ор_аныш жапсырмалары;3;
Body kits for cars;Комплекты обвесов;Бодикит жина_тары;3;
Decorative and protective films for cars;Пленки и наклейки для автомобилей;Авток_лікке декоратив жапсырмалар мен _лдірлер;3;
License plate frames;Рамки для автомобильных номеров;Авток_лік н_міріні_ жа_тауы;3;
Snorkels for SUVs;Шноркели для внедорожников;Жол тал_амайтын к_ліктерді_ снорклдары;3;
Noise insulation for cars;Шумоизоляция для автомобилей;Авток_лікке арнал_ан шу _ткізбейтін __рыл_ылар;3;
Antifreezes;Антифризы;Антифриз;3;
Fork oil;Вилочное масло;Форк майлары;3;
Hydraulic fluids and oils;Гидравлические жидкости и масла;Гидравлика с_йы_тары мен майлары;3;
Motor oils;Моторные масла;Мотор майлары;3;
Additives and flushing for cars;Присадки и промывки для автомобилей;Авток_лік майларына _оспалар мен жу_ыштар;3;
Lubricants for cars;Смазки для автомобилей;Авток_лік жа_армайы;3;
Brake fluids;Тормозные жидкости;Тежегішке __ятын с_йы_;3;
Gear oils;Трансмиссионные масла;Трансмиссия майы;3;
Motorcycle protection;Мотозащита;Мотоциклшілерді_ _ор_аныш киімі;3;
Moto jumpsuits;Мотокомбинезоны;Мотоциклшілерді_ комбинезоны;3;
Motocofra;Мотокофры;Моциклшілерді_ кофры;3;
